Category	Word	Frequency
채소	마늘	519
채소	양파	517
조미료	소금	477
향신료	후추	384
조미료	간장	325
조미료	설탕	312
물	물	250
채소	당근	242
육류	달걀	223
조미료	참기름	199
조미료	식초	199
조미료	올리브유	172
조미료	식용유	171
채소	대파	168
채소	파프리카	153
곡물	깨	138
가공식품	중력분	132
유제품	우유	128
육류	소고기	127
채소	토마토	125
가공식품	두부	124
육류	닭고기	123
유제품	버터	122
향신료	생강	116
채소	홍고추	112
채소	표고버섯	110
육류	돼지고기	109
채소	고추	108
향신료	고춧가루	99
수산물	다시마	93
향신료	파	91
채소	감자	89
채소	오이	87
유제품	생크림	86
가공식품	레몬즙	83
조미료	꿀	83
채소	무	81
과일	사과	78
수산물	새우	78
채소	애호박	73
채소	단호박	71
과일	레몬	71
과일	배	69
채소	방울토마토	67
조미료	된장	67
향신료	깻잎	67
곡물	쌀	65
조미료	올리고당	65
가공식품	전분	63
채소	부추	62
채소	청양고추	62
채소	고구마	62
조미료	고추장	62
채소	시금치	61
채소	새송이버섯	61
채소	브로콜리	61
채소	미나리	61
채소	양송이버섯	61
채소	피망	60
채소	가지	58
채소	새싹채소	57
유제품	플레인요거트	52
가공식품	밥	52
견과류	호두	51
가공식품	찹쌀가루	51
가공식품	매실액	50
가공식품	녹말	49
과일	대추	48
조미료	마요네즈	47
술	맛술	47
수산물	멸치	46
곡물	검은깨	45
채소	배추	45
향신료	카레가루	45
채소	느타리버섯	43
채소	양배추	43
견과류	아몬드	40
채소	팽이버섯	39
가공식품	빵가루	39
견과류	잣	36
가공식품	유자청	36
향신료	바질	36
가공식품	들깻가루	35
향신료	로즈마리	32
채소	쪽파	31
과일	바나나	31
수산물	오징어	30
향신료	월계수잎	30
견과류	땅콩	29
과일	오렌지	29
조미료	발사믹식초	29
술	청주	28
향신료	파슬리가루	28
채소	양상추	27
유제품	치즈	27
조미료	케첩	27
채소	셀러리	26
유제품	모짜렐라치즈	26
조미료	육수	25
조미료	물엿	24
채소	파슬리	24
채소	오이고추	24
가공식품	파스타면	24
채소	아스파라거스	24
과일	파인애플	24
가공식품	떡	23
채소	비트	23
채소	연근	23
술	정종	23
조미료	들기름	23
곡물	찹쌀	22
채소	쑥갓	22
곡물	현미	22
유제품	파마산치즈	22
가공식품	두유	21
채소	숙주	21
가공식품	김치	21
채소	인삼	21
수산물	바지락	21
기타	이스트	21
가공식품	강력분	21
곡물	콩	20
수산물	연어	20
견과류	밤	20
수산물	김	20
채소	청경채	19
육류	베이컨	19
채소	콩나물	19
가공식품	생강청	19
곡물	완두콩	19
채소	무순	18
수산물	미역	18
조미료	닭육수	18
수산물	칵테일새우	17
조미료	머스터드소스	17
수산물	주꾸미	17
과일	블루베리	16
수산물	건새우	16
술	레드와인	16
과일	아보카도	16
가공식품	박력분	16
가공식품	콩가루	15
과일	크랜베리	15
수산물	조개	15
수산물	전복	15
견과류	견과류	15
조미료	굴소스	15
채소	치커리	14
술	화이트와인	14
채소	참나물	14
향신료	계피가루	14
채소	우엉	14
가공식품	젤라틴	14
향신료	오레가노	14
조미료	액젓	13
가공식품	건포도	13
가공식품	곤약	13
가공식품	당면	13
향신료	고추냉이	13
조미료	가쓰오부시	13
가공식품	튀김가루	13
가공식품	게맛살	13
과일	키위	13
향신료	민트	13
음료	레몬주스	13
과일	딸기	12
가공식품	실곤약	12
가공식품	라이스페이퍼	12
채소	마	12
가공식품	베이킹파우더	12
채소	상추	12
가공식품	연두부	11
조미료	새우젓	11
가공식품	라면	11
음료	오렌지주스	11
조미료	다시마육수	11
빵	식빵	11
수산물	관자	11
가공식품	쌀가루	11
조미료	현미유	11
향신료	타임	11
육류	메추리알	10
수산물	함초	10
수산물	황태	10
채소	취나물	10
조미료	고추기름	10
수산물	홍합	10
조미료	일본된장	10
가공식품	토마토페이스트	10
채소	실파	10
가공식품	순두부	9
향신료	겨자가루	9
채소	레디쉬	9
채소	식용꽃	9
가공식품	백김치	9
곡물	옥수수	9
조미료	마늘기름	9
채소	만가닥버섯	9
과일	오미자	9
향신료	겨자	9
조미료	토마토소스	9
채소	목이버섯	9
과일	홍시	9
채소	고사리	9
가공식품	피클	8
채소	콜리플라워	8
음료	탄산수	8
채소	케일	8
가공식품	파프리카가루	8
수산물	낙지	8
가공식품	백년초가루	8
가공식품	미숫가루	8
가공식품	아몬드가루	8
견과류	호박씨	7
가공식품	부침가루	7
향신료	홀그레인머스터드	7
가공식품	누룽지	7
채소	도라지	7
채소	더덕	7
유제품	크림치즈	7
채소	톳	7
곡물	보리	7
수산물	고등어	7
음료	포도주스	7
음료	사과주스	7
육류	오리고기	6
채소	꽈리고추	6
향신료	연겨자	6
과일	참외	6
수산물	생선	6
육류	햄	6
조미료	칠리소스	6
유제품	사워크림	6
과일	체리	6
견과류	캐슈넛	6
향신료	계피	6
가공식품	곶감	6
가공식품	녹차가루	6
과일	자두	6
빵	바게트	6
가공식품	유부	6
과일	포도	6
곡물	팥	6
조미료	스테비아	6
가공식품	통조림참치	6
채소	호박	5
가공식품	메밀면	5
가공식품	배즙	5
수산물	굴	5
수산물	삼치	5
채소	버섯	5
가공식품	청포묵	5
채소	콜라비	5
채소	달래	5
과일	수박	5
향신료	바질가루	5
유제품	휘핑크림	5
유제품	요구르트	5
채소	두릅	5
수산물	문어	5
채소	주키니호박	5
수산물	참치	5
채소	곤드레	5
과일	망고	5
가공식품	딸기잼	5
수산물	소라	5
수산물	매생이	5
수산물	꽃게	5
수산물	가자미	5
향신료	피클링스파이스	5
가공식품	묵은지	5
빵	카스테라	5
술	소주	5
채소	적채	5
가공식품	어묵	5
견과류	은행	5
채소	로메인	5
가공식품	생강가루	5
수산물	도미	5
가공식품	할라피뇨	5
과일	복숭아	5
가공식품	소면	4
가공식품	만두피	4
수산물	대구	4
채소	호박잎	4
가공식품	콩비지	4
유제품	치즈가루	4
음료	코코넛밀크	4
가공식품	함초가루	4
빵	또띠아	4
수산물	동태	4
조미료	청국장	4
조미료	두반장	4
가공식품	통조림파인애플	4
수산물	코다리	4
조미료	홍초	4
가공식품	통조림옥수수	4
채소	치자	4
수산물	날치알	4
채소	시래기	4
수산물	꼬막	4
수산물	미역줄기	4
가공식품	도토리묵	4
채소	죽순	4
수산물	장어	4
가공식품	청국장가루	4
과일	멜론	4
가공식품	건고추	4
곡물	귀리	4
과일	귤	4
조미료	멸치육수	4
조미료	젓갈	4
조미료	포도씨유	4
과일	올리브	4
가공식품	라임즙	4
가공식품	양파즙	4
조미료	스리라차소스	4
가공식품	토마토콩카세	4
곡물	병아리콩	4
물	얼음	4
채소	돼지호박	4
견과류	해바라기씨	3
육류	통조림햄	3
육류	소시지	3
채소	돌나물	3
수산물	우렁	3
가공식품	치자가루	3
채소	산마	3
조미료	사골육수	3
채소	당귀	3
채소	토란	3
가공식품	귀리밥	3
채소	아욱	3
가공식품	전분가루	3
조미료	해물육수	3
수산물	광어	3
유제품	연유	3
조미료	쌈장	3
향신료	정향	3
유제품	파마산치즈가루	3
기타	꼬치	3
곡물	율무	3
곡물	수수	3
가공식품	한천	3
초콜릿	초콜릿	3
과일	라즈베리	3
과일	자몽	3
가공식품	사과즙	3
채소	마늘종	3
수산물	아귀	3
가공식품	쑥가루	3
수산물	북어	3
조미료	카놀라유	3
채소	근대	3
조미료	야채육수	3
음료	라임주스	3
술	막걸리	3
조미료	깨소금	3
가공식품	오미자액	3
수산물	골뱅이	3
곡물	흑미	3
채소	쑥	3
조미료	바질페스토	3
차	녹차	3
과일	과일	3
가공식품	현미밥	3
가공식품	건표고버섯	3
향신료	마늘가루	3
가공식품	땅콩버터	3
가공식품	춘권피	3
향신료	넛맥	3
채소	차이브	3
가공식품	쌀국수	3
곡물	렌틸콩	3
조미료	요리당	2
유제품	발사믹크림	2
과일	석류	2
채소	민들레	2
수산물	해초	2
채소	쌈무	2
가공식품	새우가루	2
가공식품	콩고기	2
곡물	퀴노아	2
유제품	리코타치즈	2
과일	복분자	2
조미료	라면스프	2
영양소	비타민	2
수산물	조기	2
가공식품	우동면	2
조미료	감식초	2
곡물	현미쌀	2
곡물	조	2
채소	루꼴라	2
채소	봄동	2
가공식품	깻잎장아찌	2
술	맥주	2
가공식품	열무김치	2
가공식품	시금치가루	2
가공식품	호박가루	2
가공식품	블루베리잼	2
가공식품	뽕잎가루	2
견과류	피스타치오	2
가공식품	망고퓨레	2
가공식품	무말랭이	2
가공식품	표고버섯가루	2
채소	고구마순	2
수산물	디포리	2
채소	세발나물	2
조미료	조청	2
가공식품	건조토마토	2
수산물	꽁치	2
수산물	명태	2
조미료	크림소스	2
가공식품	동치미	2
과일	라임	2
수산물	파래	2
가공식품	건멸치	2
조미료	치킨육수	2
채소	머위대	2
채소	비름	2
가공식품	훈제연어	2
가공식품	단호박가루	2
술	포도주	2
조미료	채소육수	2
가공식품	옥수수전분	2
가공식품	두부면	2
유제품	체다치즈	2
곡물	현미찹쌀	2
채소	조선무	2
조미료	코코넛오일	2
유제품	그라나파다노치즈	2
음료	사이다	2
유제품	그릭요거트	2
조미료	커민	2
채소	순무	2
가공식품	잣가루	2
향신료	고수가루	2
조미료	타바스코소스	2
향신료	고추가루	2
향신료	오레가노가루	2
음료	식혜	2
가공식품	옥수수가루	2
유제품	에멘탈치즈	2
과일	단감	2
곡물	오트밀	2
채소	물냉이	2
곡물	들깨	2
채소	참마	2
과일	청포도	2
가공식품	파인애플주스	2
조미료	타가토스	2
유제품	마스카포네치즈	2
곡물	검정콩	2
채소	노루궁뎅이버섯	1
채소	냉이	1
채소	실고추	1
가공식품	석류즙	1
육류	살라미	1
채소	가시오가피	1
채소	돈나물	1
육류	고기완자	1
채소	오가피	1
채소	백합	1
가공식품	물김치	1
가공식품	후르츠칵테일	1
가공식품	건바질	1
커피	커피	1
가공식품	백년초국수	1
가공식품	뽕잎국수	1
가공식품	치자국수	1
곡물	오곡	1
과일	무화과	1
향신료	고수	1
수산물	민어	1
채소	신선초	1
향신료	이태리시즈닝	1
향신료	허브크러스트	1
가공식품	땅콩잼	1
유제품	화이트크림	1
가공식품	귤병	1
빵	포카치아빵	1
가공식품	무장아찌	1
가공식품	통조림연어	1
조미료	데리야키소스	1
육류	족발	1
조미료	다시다	1
조미료	허브식초	1
가공식품	올방개묵	1
가공식품	깨묵	1
가공식품	삼색분말	1
가공식품	마늘칩	1
가공식품	묵	1
가공식품	흰앙금	1
곡물	증편	1
견과류	헤이즐넛	1
가공식품	통조림콩	1
가공식품	석류원액	1
가공식품	레시틴가루	1
조미료	치킨스톡	1
조미료	소고기육수	1
가공식품	땅콩가루	1
가공식품	메밀묵	1
가공식품	석박지	1
가공식품	곤약국수	1
가공식품	그라놀라	1
곡물	찰보리	1
조미료	천연조미료	1
조미료	보리된장	1
향신료	겨자분말	1
수산물	실치	1
채소	홍피망	1
가공식품	건조체리	1
가공식품	국수	1
향신료	먹물	1
향신료	울금가루	1
수산물	미더덕	1
채소	쌈채	1
가공식품	건청양고추	1
수산물	병어	1
가공식품	우무묵	1
조미료	스위트칠리	1
조미료	돈까스소스	1
가공식품	통조림황도	1
가공식품	오이피클	1
가공식품	고추피클	1
음료	석류주스	1
조미료	엿기름	1
조미료	백년초	1
수산물	다슬기	1
과자	크래커	1
수산물	갈치	1
조미료	명란젓	1
조미료	홀스레디쉬	1
가공식품	건대추	1
견과류	마카다미아	1
조미료	흑마늘진액	1
가공식품	타피오카전분	1
가공식품	비트가루	1
가공식품	전립분	1
가공식품	건크랜베리	1
가공식품	중력분	1
가공식품	아가베시럽	1
유제품	스트링치즈	1
빵	크루통	1
가공식품	올리브파우더	1
향신료	페페론치노	1
채소	락교	1
수산물	민물새우	1
가공식품	볶은콩가루	1
육류	양고기	1
조미료	바질럽드	1
음료	코코넛워터	1
향신료	건로즈마리	1
빵	치아바타	1
가공식품	건두부	1
가공식품	라임청	1
곡물	그린빈스	1
가공식품	절임올리브	1
채소	방아잎	1
향신료	스테이크시즈닝	1
채소	버섯가루	1
가공식품	함초두부	1
과일	구기자	1
육류	훈제오리	1
기타	누룩	1
향신료	가람마살라	1
향신료	커민파우더	1
가공식품	돼지감자가루	1
가공식품	현미쌀가루	1
향신료	키엔페퍼	1
가공식품	양파가루	1
향신료	고수씨	1
채소	애느타리버섯	1
가공식품	생면	1
향신료	케이퍼	1
채소	셀러리	1
가공식품	피넛버터	1
가공식품	해조국수	1
수산물	금태	1
가공식품	마늘즙	1
수산물	갑오징어	1
빵	찰깨빵	1
음료	자몽주스	1
가공식품	통조림귤	1
가공식품	오징어채	1
가공식품	잡곡밥	1
곡물	좁쌀	1
빵	버거빵	1
가공식품	플렌타가루	1
육류	슬라이스햄	1
유제품	슬라이스치즈	1
향신료	파채	1
유제품	까망베르치즈	1
빵	또띠아	1
조미료	살사소스	1
아이스크림	아이스크림	1
가공식품	통조림리치	1
조미료	생선육수	1
조미료	레드와인식초	1
조미료	데미그라스소스	1
조미료	우스터소스	1
채소	무청시래기	1
가공식품	파인소프트	1
유제품	분유	1
가공식품	낫토	1
채소	그린비타민	1
기타	유산지	1
채소	무청	1
수산물	건함초	1
향신료	팔각	1
